scenario_id,layer,items_before,items_after,tokens_before,tokens_after,saved_tokens,elapsed_ms
tools=2_rows=50,clustering:repeated_tool_calls,7,7,14301,14301,0,5.972
tools=2_rows=50,compression:tool_results,7,7,14301,591,13710,3.012
tools=2_rows=50,reranking:composite,7,7,591,591,0,0.447
tools=2_rows=50,selection:token_budget,7,7,591,591,0,0.438
tools=2_rows=50,compression:dedup_messages,7,7,14308,14308,0,5.477
tools=2_rows=50,clustering:repeated_tool_calls,7,7,14308,14308,0,5.885
tools=2_rows=50,compression:tool_results,7,7,14308,596,13712,3.036
tools=2_rows=50,reranking:composite,7,7,596,596,0,0.594
tools=2_rows=50,selection:token_budget,7,7,596,596,0,0.396
tools=2_rows=150,compression:dedup_messages,7,7,42302,42302,0,16.769
tools=2_rows=150,clustering:repeated_tool_calls,7,7,42302,42302,0,16.801
tools=2_rows=150,compression:tool_results,7,7,42302,593,41709,8.896
tools=2_rows=150,reranking:composite,7,7,593,593,0,0.456
tools=2_rows=150,selection:token_budget,7,7,593,593,0,0.435
tools=2_rows=150,compression:dedup_messages,7,7,42298,42298,0,17.1
tools=2_rows=150,clustering:repeated_tool_calls,7,7,42298,42298,0,16.328
tools=2_rows=150,compression:tool_results,7,7,42298,593,41705,8.64
tools=2_rows=150,reranking:composite,7,7,593,593,0,0.45
tools=2_rows=150,selection:token_budget,7,7,593,593,0,0.465
tools=2_rows=150,compression:dedup_messages,7,7,42306,42306,0,16.737
tools=2_rows=150,clustering:repeated_tool_calls,7,7,42306,42306,0,17.261
tools=2_rows=150,compression:tool_results,7,7,42306,598,41708,8.867
tools=2_rows=150,reranking:composite,7,7,598,598,0,0.454
tools=2_rows=150,selection:token_budget,7,7,598,598,0,0.452
tools=2_rows=150,compression:dedup_messages,7,7,42302,42302,0,17.388
tools=2_rows=150,clustering:repeated_tool_calls,7,7,42302,42302,0,17.735
tools=2_rows=150,compression:tool_results,7,7,42302,598,41704,8.957
tools=2_rows=150,reranking:composite,7,7,598,598,0,0.49
tools=2_rows=150,selection:token_budget,7,7,598,598,0,0.457
tools=2_rows=150,compression:dedup_messages,7,7,42302,42302,0,16.701
tools=2_rows=150,clustering:repeated_tool_calls,7,7,42302,42302,0,16.618
tools=2_rows=150,compression:tool_results,7,7,42302,593,41709,8.61
tools=2_rows=150,reranking:composite,7,7,593,593,0,0.439
tools=2_rows=150,selection:token_budget,7,7,593,593,0,0.44
tools=2_rows=400,compression:dedup_messages,7,7,112299,112299,0,44.033
tools=2_rows=400,clustering:repeated_tool_calls,7,7,112299,112299,0,51.062
tools=2_rows=400,compression:tool_results,7,7,112299,596,111703,22.591
tools=2_rows=400,reranking:composite,7,7,596,596,0,0.456
tools=2_rows=400,selection:token_budget,7,7,596,596,0,0.436
tools=2_rows=400,compression:dedup_messages,7,7,112294,112294,0,46.252
tools=2_rows=400,clustering:repeated_tool_calls,7,7,112294,112294,0,44.905
tools=2_rows=400,compression:tool_results,7,7,112294,593,111701,23.422
tools=2_rows=400,reranking:composite,7,7,593,593,0,0.498
tools=2_rows=400,selection:token_budget,7,7,593,593,0,0.499
tools=2_rows=400,compression:dedup_messages,7,7,112298,112298,0,44.06
tools=2_rows=400,clustering:repeated_tool_calls,7,7,112298,112298,0,44.146
tools=2_rows=400,compression:tool_results,7,7,112298,595,111703,22.016
tools=2_rows=400,reranking:composite,7,7,595,595,0,0.483
tools=2_rows=400,selection:token_budget,7,7,595,595,0,0.421
